,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
143,Côte d'Ivoire - Quartier Baoulé 2 - 1042940,1042940,Quartier Baoulé 2,Côte d'Ivoire,DJOUROUTOU,Gbarou,Identified,,,Taidjiro,Not applicable,5.3186,-7.287225,,Site inondable et situé dans un bas fond,No,,0,5,60.0,4,Pont de fortune construit par la communauté ( buses et remblais des sacs remplis de sable),52.0,Pas de passage possible en saison des pluies,Non,,École Primaire - Primary,Marché journalier - Market (daily);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.287225,5.3186,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/9/22,San Pedro,Tabou,POINT (-7.287225 5.3186),5.3186,-7.287225,no
144,Côte d'Ivoire - Coopenek - 1042942,1042942,Coopenek,Côte d'Ivoire,DJOUROUTOU,Hannié,Identified,,,Hannié,Not applicable,5.195148,-7.349534,,Site très inondable et situé dans un bas fond,No,,0,5,90.0,5,Visite de famille. Nous sommes accompagnés par le président du GSC de Hannié,36.0,2,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.349534,5.195148,"mudflat (low point with stagnant water, seasonally)",Walking path; motorcycle accessible path,Rural,11/9/22,San Pedro,Tabou,POINT (-7.349534 5.195148),5.195148,-7.349534,no
145,Côte d'Ivoire - Quartier Paradis - 1043147,1043147,Quartier Paradis,Côte d'Ivoire,DJOUROUTOU,Hannié,Identified,,,Hannié,Not applicable,5.192605,-7.355045,,Site très inondable et situé dans un bas fond,No,,0,7,90.0,10,Visite de famille,28.0,"0,300",Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.355045,5.192605,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/10/22,San Pedro,Tabou,POINT (-7.355045 5.192605),5.192605,-7.355045,no
146,Côte d'Ivoire - Pont de Kangakro - 1042379,1042379,Pont de Kangakro,Côte d'Ivoire,DJOUROUTOU,PARA,Identified,,,Menon,,5.523033,-7.294739,,,No,,0,0,365.0,15,Visite de famille,45.0,Aucun autre passage.Seul moyen de traversée est la pirogue,Non,Clinique ou centre de santé - Clinic or Health Center,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.294739,5.523033,River,Walking path,Rural,10/20/22,San Pedro,Tabou,POINT (-7.294739 5.523033),5.523033,-7.294739,yes
148,Côte d'Ivoire - Génie civil - 1043148,1043148,Génie civil,Côte d'Ivoire,DJOUROUTOU,Hannié,Identifié,,,Hannié,Not applicable,5.193407,-7.359299,,Site inondable et en plein dans un ravin entouré de bas fond,No,,0,3,90.0,3,Visite de famille,15.0,"0,300",Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.359299,5.193407,"River; mudflat (low point with stagnant water, seasonally)",Walking path,Rural,11/10/22,San Pedro,Tabou,POINT (-7.359299 5.193407),5.193407,-7.359299,no
149,Côte d'Ivoire - Lobikro1 - 1042943,1042943,Lobikro1,Côte d'Ivoire,DJOUROUTOU,Hannié,Identified,,,Hannié,Not applicable,5.19232,-7.349935,,Site très inondable et situé dans un bas fond. Passage beaucoup emprunté par la population surtout les élèves en période scolaire,No,,0,10,90.0,5,Visite de famille,105.0,"0,300",Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.349935,5.19232,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,11/9/22,San Pedro,Tabou,POINT (-7.349935 5.19232),5.19232,-7.349935,no
150,Côte d'Ivoire - CMA - 1042941,1042941,CMA,Côte d'Ivoire,DJOUROUTOU,Gbarou,Identified,,,Taidjiro,Not applicable,5.32231,-7.286444,,Site inondé en saison pluvieuse lorsque la rivière déborde.,No,,0,7,60.0,7,La seule voie de passage est un passage véhiculaire et pédestre mais impraticable en saison des pluies.,172.0,Aucune traversée possible lorsque la rivière déborde,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-7.286444,5.32231,"mudflat (low point with stagnant water, seasonally)",graded road / marram - one lane,Rural,11/9/22,San Pedro,Tabou,POINT (-7.286444 5.32231),5.32231,-7.286444,no
151,Côte d'Ivoire - Pont quartier Eugène - 1042611,1042611,Pont quartier Eugène,Côte d'Ivoire,DJOUROUTOU,DJOUROUTOU,Identified,,,Hanna,Not applicable,5.366911,-7.282832,,Site inondable et situé dans un bas fond,No,,0,5,35.0,15,Secrétaire du chef,28.0,"0,300",Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.282832,5.366911,River,Walking path,Rural,10/26/22,San Pedro,Tabou,POINT (-7.282832 5.366911),5.366911,-7.282832,no
152,Côte d'Ivoire - Pont quartier Boss - Américain - 1042608,1042608,Pont quartier Boss - Américain,Côte d'Ivoire,DJOUROUTOU,Para,Identified,,,Para - Nohon,Not applicable,5.513838,-7.321815,,Site inondable et situé dans un bas fond,No,,0,15,30.0,5,Visite de famille,40.0,2,Non,Clinique ou centre de santé - Clinic or Health Center,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.321815,5.513838,River,Walking path,Rural,10/26/22,San Pedro,Tabou,POINT (-7.321815 5.513838),5.513838,-7.321815,yes
153,Côte d'Ivoire - Pont Appolinaire - 1042609,1042609,Pont Appolinaire,Côte d'Ivoire,DJOUROUTOU,DJOUROUTOU,Identified,,,Hanna,Not applicable,5.365308,-7.277222,,Site inondable et situé dans un bas fond,No,,0,10,60.0,15,Secrétaire du chef du village et Secrétaire chargé des relations extérieures du GSC,54.0,"0,400",Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.277222,5.365308,swamp (water year round),Walking path,Rural,10/26/22,San Pedro,Tabou,POINT (-7.277222 5.365308),5.365308,-7.277222,no
154,Côte d'Ivoire - Pont chantier 2 - 1042607,1042607,Pont chantier 2,Côte d'Ivoire,DJOUROUTOU,Para,Identified,,,Para - Nohon,Not applicable,5.524593,-7.319149,,Site inondable et dans un bas fond,No,,0,20,30.0,5,Visite de famille,34.0,1,Non,Clinique ou centre de santé - Clinic or Health Center,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.319149,5.524593,River,Walking path,Rural,10/26/22,San Pedro,Tabou,POINT (-7.319149 5.524593),5.524593,-7.319149,yes
